lang,	fib(n),	result,	real,	user,	sys
 fib-crystal, 1, 1, 0.00, 0.00, 0.00
      fib-go, 1, 1, 0.00, 0.00, 0.00
      fib.py, 1, 1, 0.02, 0.01, 0.00
      fib.rb, 1, 1, 0.03, 0.02, 0.00
     fib-nim, 1, 1, 0.00, 0.00, 0.00
 fib-crystal, 2, 1, 0.00, 0.00, 0.00
      fib-go, 2, 1, 0.00, 0.00, 0.00
      fib.py, 2, 1, 0.02, 0.01, 0.00
      fib.rb, 2, 1, 0.04, 0.03, 0.00
     fib-nim, 2, 1, 0.00, 0.00, 0.00
 fib-crystal, 3, 2, 0.00, 0.00, 0.00
      fib-go, 3, 2, 0.00, 0.00, 0.00
      fib.py, 3, 2, 0.02, 0.01, 0.00
      fib.rb, 3, 2, 0.03, 0.02, 0.00
     fib-nim, 3, 2, 0.00, 0.00, 0.00
 fib-crystal, 4, 3, 0.00, 0.00, 0.00
      fib-go, 4, 3, 0.00, 0.00, 0.00
      fib.py, 4, 3, 0.02, 0.01, 0.00
      fib.rb, 4, 3, 0.03, 0.03, 0.00
     fib-nim, 4, 3, 0.00, 0.00, 0.00
 fib-crystal, 5, 5, 0.00, 0.00, 0.00
      fib-go, 5, 5, 0.00, 0.00, 0.00
      fib.py, 5, 5, 0.02, 0.01, 0.00
      fib.rb, 5, 5, 0.04, 0.03, 0.00
     fib-nim, 5, 5, 0.00, 0.00, 0.00

